Type,Name,Size,Shape,Data Type,Exception,Comment,AcqStamp
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,1080,"(1080,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,4members,,,False,b'Spectrometer background camera',0
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.01TCV4.CAM8,2members,,,,,
GROUP,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,21members,,,False,b'UV Cathode',1541962113447383167
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,2592,"(2592,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData,5308416,"(2048, 2592)",int16,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection,2048,"(2048,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,4members,,,False,b'UV Cathode',0
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.02TCC4.AWAKECAM02,2members,,,,,
GROUP,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,21members,,,False,b'Downstream core camera 442',1541962114472885252
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection,1280,"(1280,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData,1228800,"(960, 1280)",int16,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,960,"(960,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,4members,,,False,b'Downstream core camera 442',0
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.02TSG40.CAM7,2members,,,,,
GROUP,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,21members,,,False,b'IR Laser room',1541962113393700479
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,1920,"(1920,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,2304000,"(1200, 1920)",int16,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,1200,"(1200,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,4members,,,False,b'IR Laser room',0
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.03TT41.CAM3,2members,,,,,
GROUP,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,21members,,,False,b'Beam image',1541962114482431103
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjection,1920,"(1920,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageRawData,2304000,"(1200, 1920)",int16,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection,1200,"(1200,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,4members,,,False,b'Camera exposure and delay',0
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.04TCC4.AWAKECAM04,2members,,,,,
GROUP,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,21members,,,False,b'Downstream halo camera 442',1541962114470973444
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjection,1600,"(1600,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageRawData,1920000,"(1200, 1600)",int16,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection,1200,"(1200,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,4members,,,False,b'Downstream halo camera 442',0
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.04TT41.CAM4,2members,,,,,
GROUP,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,21members,,,False,b'Beam image',1541962114488722047
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjection,1920,"(1920,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageRawData,2304000,"(1200, 1920)",int16,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjection,1200,"(1200,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,4members,,,False,b'Camera exposure and delay',0
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.05TT41.CAM5,2members,,,,,
GROUP,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,21members,,,False,b'Beam image',1541962114480060287
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjection,1920,"(1920,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageRawData,2304000,"(1200, 1920)",int16,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
